County Name,State,death_rate
Autauga,AL,1.5029522275899088
Baldwin,AL,1.0421755414427618
Barbour,AL,0.9708737864077669
Bibb,AL,1.694915254237288
Blount,AL,0.9518143961927424
Bullock,AL,2.5848142164781907
Butler,AL,4.291845493562231
Calhoun,AL,1.199360341151386
Chambers,AL,3.518821603927987
Cherokee,AL,1.9877675840978593
Chilton,AL,1.7814726840855106
Choctaw,AL,3.2520325203252036
Clarke,AL,1.3513513513513513
Clay,AL,1.4354066985645932
Cleburne,AL,1.3363028953229399
Coffee,AL,0.4008016032064128
Colbert,AL,1.5245623941276116
Conecuh,AL,2.214022140221402
Coosa,AL,1.639344262295082
Covington,AL,1.8494055482166447
Crenshaw,AL,5.415162454873646
Cullman,AL,1.0494752623688157
Dale,AL,3.143418467583497
Dallas,AL,1.4309301045679692
DeKalb,AL,0.8490217792543374
Elmore,AL,1.7307026652821047
Escambia,AL,1.6167664670658684
Etowah,AL,1.2077294685990339
Fayette,AL,2.0408163265306123
Franklin,AL,1.6034206306787813
Geneva,AL,0.7843137254901961
Greene,AL,4.792332268370607
Hale,AL,4.105571847507331
Henry,AL,0.8635578583765112
Houston,AL,0.7292882147024504
Jackson,AL,0.6876790830945558
Jefferson,AL,1.7123777724779392
Lamar,AL,0.7425742574257426
Lauderdale,AL,1.9680851063829787
Lawrence,AL,3.7735849056603774
Lee,AL,1.0251481659458594
Limestone,AL,0.9599332220367278
Lowndes,AL,4.017857142857143
Macon,AL,3.5785288270377733
Madison,AL,0.9910447761194029
Marengo,AL,2.642007926023778
Marion,AL,2.857142857142857
Marshall,AL,1.1021307861866276
Mobile,AL,2.227203702364596
Monroe,AL,1.497504159733777
Montgomery,AL,2.0643461073899196
Morgan,AL,0.9293156857223317
Perry,AL,1.0968921389396709
Pickens,AL,2.1520803443328553
Pike,AL,0.9569377990430622
Randolph,AL,1.7980636237897647
Russell,AL,0.16375545851528384
St. Clair,AL,1.507338357794526
Shelby,AL,0.8619362782822841
Sumter,AL,4.740406320541761
Talladega,AL,1.3876843018213356
Tallapoosa,AL,7.018992568125516
Tuscaloosa,AL,1.3242204186245194
Walker,AL,3.569995988768552
Washington,AL,2.0408163265306123
Wilcox,AL,2.0072992700729926
Winston,AL,1.507537688442211
Aleutians East Borough,AK,0.0
