OBJECTID,Classes,Value_Min,Value_Max,ORIG_FID
1,0,2.63946282,3.55591953,1
2,0,2.63946282,3.55591953,1
3,0,2.63946282,3.55591953,1
4,0,2.63946282,3.55591953,1
5,0,2.63946282,3.55591953,1
6,0,2.63946282,3.55591953,1
7,0,2.63946282,3.55591953,1
8,0,2.63946282,3.55591953,1
9,0,2.63946282,3.55591953,1
10,0,2.63946282,3.55591953,1
11,0,2.63946282,3.55591953,1
12,0,2.63946282,3.55591953,1
13,0,2.63946282,3.55591953,1
14,0,2.63946282,3.55591953,1
15,0,2.63946282,3.55591953,1
16,0,2.63946282,3.55591953,1
17,0,2.63946282,3.55591953,1
18,0,2.63946282,3.55591953,1
19,0,2.63946282,3.55591953,1
20,0,2.63946282,3.55591953,1
21,0,2.63946282,3.55591953,1
22,0,2.63946282,3.55591953,1
23,0,2.63946282,3.55591953,1
24,0,2.63946282,3.55591953,1
25,0,2.63946282,3.55591953,1
26,0,2.63946282,3.55591953,1
27,0,2.63946282,3.55591953,1
28,0,2.63946282,3.55591953,1
29,0,2.63946282,3.55591953,1
30,1,3.55591953,4.69774063,2
31,1,3.55591953,4.69774063,2
32,1,3.55591953,4.69774063,2
33,1,3.55591953,4.69774063,2
34,1,3.55591953,4.69774063,2
35,1,3.55591953,4.69774063,2
36,1,3.55591953,4.69774063,2
37,1,3.55591953,4.69774063,2
38,1,3.55591953,4.69774063,2
39,1,3.55591953,4.69774063,2
40,1,3.55591953,4.69774063,2
41,1,3.55591953,4.69774063,2
42,1,3.55591953,4.69774063,2
43,1,3.55591953,4.69774063,2
44,1,3.55591953,4.69774063,2
45,1,3.55591953,4.69774063,2
46,1,3.55591953,4.69774063,2
47,1,3.55591953,4.69774063,2
48,1,3.55591953,4.69774063,2
49,1,3.55591953,4.69774063,2
50,1,3.55591953,4.69774063,2
51,1,3.55591953,4.69774063,2
52,1,3.55591953,4.69774063,2
53,1,3.55591953,4.69774063,2
54,1,3.55591953,4.69774063,2
55,1,3.55591953,4.69774063,2
56,1,3.55591953,4.69774063,2
57,1,3.55591953,4.69774063,2
58,1,3.55591953,4.69774063,2
59,1,3.55591953,4.69774063,2
60,1,3.55591953,4.69774063,2
61,1,3.55591953,4.69774063,2
62,1,3.55591953,4.69774063,2
63,1,3.55591953,4.69774063,2
64,1,3.55591953,4.69774063,2
65,1,3.55591953,4.69774063,2
66,1,3.55591953,4.69774063,2
67,1,3.55591953,4.69774063,2
68,1,3.55591953,4.69774063,2
69,1,3.55591953,4.69774063,2
70,1,3.55591953,4.69774063,2
71,1,3.55591953,4.69774063,2
72,1,3.55591953,4.69774063,2
73,2,4.69774063,6.12034512,3
74,2,4.69774063,6.12034512,3
75,2,4.69774063,6.12034512,3
76,2,4.69774063,6.12034512,3
77,2,4.69774063,6.12034512,3
78,2,4.69774063,6.12034512,3
79,2,4.69774063,6.12034512,3
80,2,4.69774063,6.12034512,3
81,2,4.69774063,6.12034512,3
82,2,4.69774063,6.12034512,3
83,2,4.69774063,6.12034512,3
84,2,4.69774063,6.12034512,3
85,2,4.69774063,6.12034512,3
86,2,4.69774063,6.12034512,3
87,2,4.69774063,6.12034512,3
88,2,4.69774063,6.12034512,3
89,2,4.69774063,6.12034512,3
90,2,4.69774063,6.12034512,3
91,2,4.69774063,6.12034512,3
92,2,4.69774063,6.12034512,3
93,2,4.69774063,6.12034512,3
94,2,4.69774063,6.12034512,3
95,3,6.12034512,7.89278000,4
96,3,6.12034512,7.89278000,4
97,3,6.12034512,7.89278000,4
98,3,6.12034512,7.89278000,4
99,3,6.12034512,7.89278000,4
100,3,6.12034512,7.89278000,4
101,3,6.12034512,7.89278000,4
102,4,7.89278000,10.10107149,5
103,4,7.89278000,10.10107149,5
104,4,7.89278000,10.10107149,5
105,4,7.89278000,10.10107149,5
106,4,7.89278000,10.10107149,5
107,5,10.10107149,12.85240039,6
108,5,10.10107149,12.85240039,6
109,5,10.10107149,12.85240039,6
110,5,10.10107149,12.85240039,6
111,5,10.10107149,12.85240039,6
112,5,10.10107149,12.85240039,6
113,5,10.10107149,12.85240039,6
114,5,10.10107149,12.85240039,6
115,5,10.10107149,12.85240039,6
116,6,12.85240039,16.28030415,7
117,6,12.85240039,16.28030415,7
118,6,12.85240039,16.28030415,7
119,6,12.85240039,16.28030415,7
120,6,12.85240039,16.28030415,7
121,6,12.85240039,16.28030415,7
122,6,12.85240039,16.28030415,7
123,6,12.85240039,16.28030415,7
124,6,12.85240039,16.28030415,7
125,6,12.85240039,16.28030415,7
