Date,PM2.5 AQI Value,Site Name,Site ID,Source,20-year High (2000-2019),20-year Low (2000-2019),5-year Average (2015-2019)
01/01/2020,37,Hammond- 167th St,18-089-0036,AQS,151,21,45.2
01/02/2020,38,Kingery Near Road #1,17-031-0119,AQS,98,23,54
01/03/2020,56,Hammond- 167th St,18-089-0036,AQS,86,46,56.6
01/04/2020,48,East Chicago-Marina,18-089-0034,AQS,94,22,44.4
01/05/2020,31,Hammond- 167th St,18-089-0036,AQS,158,14,48.4
01/06/2020,26,CARY GROVE HS,17-111-0001,AQS,84,38,53.4
01/07/2020,35,PERSHING SCHOOL,17-197-1002,AQS,93,50,58
01/08/2020,31,IEPA TRAILER,17-031-3103,AQS,111,25,51.4
01/09/2020,36,PERSHING SCHOOL,17-197-1002,AQS,110,47,63
01/10/2020,61,LIBERTY SCHOOL,17-031-6005,AQS,92,35,46.4
01/11/2020,27,VILLAGE GARAGE,17-031-0001,AQS,118,32,49
01/12/2020,44,VILLAGE GARAGE,17-031-0001,AQS,129,30,53.2
01/13/2020,51,Kingery Near Road #1,17-031-0119,AQS,117,24,45.8
01/14/2020,70,CHIWAUKEE PRAIRIE STATELINE,55-059-0019,AQS,87,33,69.4
01/15/2020,77,VILLAGE GARAGE,17-031-0001,AQS,102,49,72.8
01/16/2020,57,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,116,43,61.6
01/17/2020,35,PERSHING SCHOOL,17-197-1002,AQS,99,37,54.4
01/18/2020,41,East Chicago-Marina,18-089-0034,AQS,112,30,53.8
01/19/2020,53,IEPA TRAILER,17-031-3103,AQS,114,29,55.6
01/20/2020,51,Kingery Near Road #1,17-031-0119,AQS,153,30,59.4
01/21/2020,62,PERSHING SCHOOL,17-197-1002,AQS,104,34,68.4
01/22/2020,59,SPRINGFIELD PUMP STATION,17-031-0057,AQS,155,38,53.8
01/23/2020,59,Kingery Near Road #1,17-031-0119,AQS,144,45,51.2
01/24/2020,62,Kingery Near Road #1,17-031-0119,AQS,139,41,59.8
01/25/2020,53,COM ED TRAINING CENTER,17-197-1011,AQS,154,38,52.4
01/26/2020,55,East Chicago-Marina,18-089-0034,AQS,99,37,47.4
01/27/2020,65,Kingery Near Road #1,17-031-0119,AQS,149,32,50
01/28/2020,63,Kingery Near Road #1,17-031-0119,AQS,104,36,57.4
01/29/2020,65,CITY HALL,17-043-4002,AQS,94,25,38.4
01/30/2020,67,CITY HALL,17-043-4002,AQS,111,24,44.6
01/31/2020,70,CITY HALL,17-043-4002,AQS,153,38,49.4
02/01/2020,59,Kingery Near Road #1,17-031-0119,AQS,143,33,53.8
02/02/2020,30,Kingery Near Road #1,17-031-0119,AQS,142,27,58.6
02/03/2020,55,Kingery Near Road #1,17-031-0119,AQS,155,31,52.4
02/04/2020,33,East Chicago-Marina,18-089-0034,AQS,154,33,46.4
