OBJECTID,Classes,Value_Min,Value_Max,ORIG_FID
1,0,4.10828237,6.95194931,1
2,0,4.10828237,6.95194931,1
3,0,4.10828237,6.95194931,1
4,0,4.10828237,6.95194931,1
5,0,4.10828237,6.95194931,1
6,0,4.10828237,6.95194931,1
7,0,4.10828237,6.95194931,1
8,0,4.10828237,6.95194931,1
9,0,4.10828237,6.95194931,1
10,0,4.10828237,6.95194931,1
11,0,4.10828237,6.95194931,1
12,0,4.10828237,6.95194931,1
13,0,4.10828237,6.95194931,1
14,0,4.10828237,6.95194931,1
15,0,4.10828237,6.95194931,1
16,0,4.10828237,6.95194931,1
17,1,6.95194931,8.93634707,2
18,1,6.95194931,8.93634707,2
19,1,6.95194931,8.93634707,2
20,1,6.95194931,8.93634707,2
21,1,6.95194931,8.93634707,2
22,1,6.95194931,8.93634707,2
23,1,6.95194931,8.93634707,2
24,1,6.95194931,8.93634707,2
25,1,6.95194931,8.93634707,2
26,1,6.95194931,8.93634707,2
27,1,6.95194931,8.93634707,2
28,1,6.95194931,8.93634707,2
29,1,6.95194931,8.93634707,2
30,1,6.95194931,8.93634707,2
31,1,6.95194931,8.93634707,2
32,1,6.95194931,8.93634707,2
33,1,6.95194931,8.93634707,2
34,1,6.95194931,8.93634707,2
35,1,6.95194931,8.93634707,2
36,1,6.95194931,8.93634707,2
37,1,6.95194931,8.93634707,2
38,1,6.95194931,8.93634707,2
39,1,6.95194931,8.93634707,2
40,1,6.95194931,8.93634707,2
41,2,8.93634707,10.32112052,3
42,2,8.93634707,10.32112052,3
43,2,8.93634707,10.32112052,3
44,2,8.93634707,10.32112052,3
45,2,8.93634707,10.32112052,3
46,2,8.93634707,10.32112052,3
47,2,8.93634707,10.32112052,3
48,2,8.93634707,10.32112052,3
49,2,8.93634707,10.32112052,3
50,2,8.93634707,10.32112052,3
51,2,8.93634707,10.32112052,3
52,2,8.93634707,10.32112052,3
53,2,8.93634707,10.32112052,3
54,2,8.93634707,10.32112052,3
55,2,8.93634707,10.32112052,3
56,2,8.93634707,10.32112052,3
57,2,8.93634707,10.32112052,3
58,2,8.93634707,10.32112052,3
59,2,8.93634707,10.32112052,3
60,2,8.93634707,10.32112052,3
61,2,8.93634707,10.32112052,3
62,2,8.93634707,10.32112052,3
63,2,8.93634707,10.32112052,3
64,2,8.93634707,10.32112052,3
65,2,8.93634707,10.32112052,3
66,2,8.93634707,10.32112052,3
67,2,8.93634707,10.32112052,3
68,2,8.93634707,10.32112052,3
69,2,8.93634707,10.32112052,3
70,2,8.93634707,10.32112052,3
71,2,8.93634707,10.32112052,3
72,2,8.93634707,10.32112052,3
73,2,8.93634707,10.32112052,3
74,2,8.93634707,10.32112052,3
75,2,8.93634707,10.32112052,3
76,2,8.93634707,10.32112052,3
77,2,8.93634707,10.32112052,3
78,2,8.93634707,10.32112052,3
79,2,8.93634707,10.32112052,3
80,3,10.32112052,11.28745779,4
81,3,10.32112052,11.28745779,4
82,3,10.32112052,11.28745779,4
83,3,10.32112052,11.28745779,4
84,3,10.32112052,11.28745779,4
85,3,10.32112052,11.28745779,4
86,3,10.32112052,11.28745779,4
87,3,10.32112052,11.28745779,4
88,3,10.32112052,11.28745779,4
89,3,10.32112052,11.28745779,4
90,3,10.32112052,11.28745779,4
91,3,10.32112052,11.28745779,4
92,3,10.32112052,11.28745779,4
93,3,10.32112052,11.28745779,4
94,3,10.32112052,11.28745779,4
95,3,10.32112052,11.28745779,4
96,3,10.32112052,11.28745779,4
97,4,11.28745779,11.96179749,5
98,4,11.28745779,11.96179749,5
99,4,11.28745779,11.96179749,5
100,4,11.28745779,11.96179749,5
101,4,11.28745779,11.96179749,5
102,4,11.28745779,11.96179749,5
103,4,11.28745779,11.96179749,5
104,4,11.28745779,11.96179749,5
105,4,11.28745779,11.96179749,5
106,4,11.28745779,11.96179749,5
107,4,11.28745779,11.96179749,5
108,4,11.28745779,11.96179749,5
109,4,11.28745779,11.96179749,5
110,4,11.28745779,11.96179749,5
111,4,11.28745779,11.96179749,5
112,5,11.96179749,12.92813475,6
113,5,11.96179749,12.92813475,6
114,5,11.96179749,12.92813475,6
115,5,11.96179749,12.92813475,6
116,5,11.96179749,12.92813475,6
117,5,11.96179749,12.92813475,6
118,5,11.96179749,12.92813475,6
119,5,11.96179749,12.92813475,6
120,5,11.96179749,12.92813475,6
121,5,11.96179749,12.92813475,6
122,5,11.96179749,12.92813475,6
123,5,11.96179749,12.92813475,6
124,5,11.96179749,12.92813475,6
125,5,11.96179749,12.92813475,6
126,5,11.96179749,12.92813475,6
127,6,12.92813475,14.31290820,7
128,6,12.92813475,14.31290820,7
129,6,12.92813475,14.31290820,7
130,6,12.92813475,14.31290820,7
131,6,12.92813475,14.31290820,7
132,6,12.92813475,14.31290820,7
133,6,12.92813475,14.31290820,7
134,6,12.92813475,14.31290820,7
135,7,14.31290820,16.29730596,8
136,7,14.31290820,16.29730596,8
137,7,14.31290820,16.29730596,8
138,7,14.31290820,16.29730596,8
139,7,14.31290820,16.29730596,8
140,7,14.31290820,16.29730596,8
141,7,14.31290820,16.29730596,8
142,7,14.31290820,16.29730596,8
143,7,14.31290820,16.29730596,8
