,sysname,sysname_alt,sum_min,num_trip,day,month,year
0,Blue Bikes,"Boston Metro, MA",32187,2623,2,1,2019
1,Blue Bikes,"Boston Metro, MA",36632,2993,3,1,2019
2,Blue Bikes,"Boston Metro, MA",43345,3379,4,1,2019
3,Blue Bikes,"Boston Metro, MA",9177,782,5,1,2019
4,Blue Bikes,"Boston Metro, MA",21476,1620,6,1,2019
5,Blue Bikes,"Boston Metro, MA",32297,2858,7,1,2019
6,Blue Bikes,"Boston Metro, MA",34698,2970,8,1,2019
7,Blue Bikes,"Boston Metro, MA",40676,3375,9,1,2019
8,Blue Bikes,"Boston Metro, MA",39484,3320,10,1,2019
9,Blue Bikes,"Boston Metro, MA",30072,2636,11,1,2019
10,Blue Bikes,"Boston Metro, MA",13959,1227,12,1,2019
11,Blue Bikes,"Boston Metro, MA",13246,1157,13,1,2019
12,Blue Bikes,"Boston Metro, MA",33418,3000,14,1,2019
13,Blue Bikes,"Boston Metro, MA",38170,3291,15,1,2019
14,Blue Bikes,"Boston Metro, MA",40472,3552,16,1,2019
15,Blue Bikes,"Boston Metro, MA",34999,3136,17,1,2019
16,Blue Bikes,"Boston Metro, MA",40791,3271,18,1,2019
17,Blue Bikes,"Boston Metro, MA",17688,1380,19,1,2019
18,Blue Bikes,"Boston Metro, MA",2556,151,21,1,2019
19,Blue Bikes,"Boston Metro, MA",13923,932,22,1,2019
20,Blue Bikes,"Boston Metro, MA",23469,1799,23,1,2019
21,Blue Bikes,"Boston Metro, MA",17562,1486,24,1,2019
22,Blue Bikes,"Boston Metro, MA",36072,3012,25,1,2019
23,Blue Bikes,"Boston Metro, MA",23610,1718,26,1,2019
24,Blue Bikes,"Boston Metro, MA",29650,1908,27,1,2019
25,Blue Bikes,"Boston Metro, MA",37524,3256,28,1,2019
26,Blue Bikes,"Boston Metro, MA",36907,3236,29,1,2019
27,Blue Bikes,"Boston Metro, MA",30046,2553,30,1,2019
28,Blue Bikes,"Boston Metro, MA",17799,1638,31,1,2019
29,Blue Bikes,"Boston Metro, MA",24194,2203,1,2,2019
30,Blue Bikes,"Boston Metro, MA",18233,1568,2,2,2019
31,Blue Bikes,"Boston Metro, MA",27262,2059,3,2,2019
32,Blue Bikes,"Boston Metro, MA",63234,4764,4,2,2019
33,Blue Bikes,"Boston Metro, MA",89227,5806,5,2,2019
34,Blue Bikes,"Boston Metro, MA",47325,4045,6,2,2019
35,Blue Bikes,"Boston Metro, MA",42725,3719,7,2,2019
36,Blue Bikes,"Boston Metro, MA",50194,3850,8,2,2019
37,Blue Bikes,"Boston Metro, MA",25699,1818,9,2,2019
38,Blue Bikes,"Boston Metro, MA",26443,1961,10,2,2019
