"Table 1-37:  U.S. Air Carrier Aircraft Departures, Enplaned Revenue Passengers, and Enplaned Revenue Tons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AIRCRAFT DEPARTURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total performeda,"4,555,516","5,156,848","5,505,659","6,641,681","6,711,203","6,897,999","7,136,094","7,524,909","8,036,722","8,205,411","8,112,516","8,308,153","8,602,689","8,928,902","8,548,692","8,036,467","8,517,814","9,376,809","9,637,672","9,331,550","9,417,889","9,053,179","8,476,010","8,450,987","8,440,485","8,328,338","8,273,972","8,096,255","8,075,113","8,210,517","8,263,525","8,431,304","8,637,158"
Total scheduled,"4,530,535","5,204,564","5,591,596","6,758,571","6,606,020","6,798,947","6,996,178","7,364,626","7,925,838","8,070,372","7,914,757","8,159,383","8,432,391","8,687,859","8,340,012","7,970,112","8,464,593","9,141,375","9,492,205","9,246,169","9,518,022","9,154,353","8,566,602","8,515,359","8,473,404","8,271,104","8,262,781","8,144,034","8,095,087","8,199,224","8,279,271","8,399,298","8,597,750"
Large hubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performed,"2,437,958","2,887,239","3,439,446","4,167,868","3,770,382","3,840,689","4,025,158","4,357,314","4,665,239","4,821,564","4,847,877","4,988,712","5,358,363","5,561,871","5,198,622","5,016,840","5,330,512","5,666,415","5,818,782","5,658,894","5,659,523","5,412,056","5,098,132","5,116,388","5,244,299","5,232,334","5,239,221","5,172,067","5,184,816","5,252,341","5,256,956","5,261,970","5,339,726"
Scheduled,"2,409,874","2,905,923","3,487,660","4,237,466","3,752,807","3,836,074","3,997,694","4,324,739","4,660,012","4,815,729","4,800,398","4,989,525","5,292,365","5,439,692","5,112,973","4,968,043","5,342,011","5,566,289","5,777,912","5,652,003","5,783,528","5,532,560","5,193,632","5,206,101","5,306,153","5,220,743","5,266,740","5,220,225","5,215,655","5,278,394","5,297,641","5,289,702","5,374,442"
Medium hubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performed,"902,652","1,048,726","1,185,008","1,394,833","1,662,337","1,690,788","1,712,222","1,852,968","1,917,979","1,842,506","1,838,285","1,865,567","1,747,453","1,826,998","1,946,563","1,714,926","1,659,764","1,978,283","1,997,601","1,938,579","2,011,078","1,940,343","1,760,927","1,748,793","1,652,936","1,577,529","1,534,939","1,370,809","1,451,332","1,502,287","1,537,223","1,717,651","1,770,531"
Scheduled,"899,543","1,058,438","1,201,540","1,417,762","1,639,746","1,658,960","1,665,336","1,775,896","1,864,967","1,776,146","1,759,610","1,785,765","1,659,166","1,768,404","1,862,085","1,708,028","1,643,651","1,944,198","1,963,598","1,922,970","2,020,034","1,949,779","1,771,247","1,754,154","1,657,888","1,575,290","1,522,600","1,371,094","1,444,853","1,488,382","1,525,225","1,688,349","1,737,907"
Small hubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performed,"640,589","598,559","514,176","669,450","739,191","851,941","813,717","708,473","733,636","755,666","700,309","731,425","744,760","780,852","744,403","721,856","879,306","1,054,778","1,090,191","1,036,655","1,063,763","1,021,591","1,014,192","985,885","952,803","948,737","944,183","998,843","919,517","938,670","931,440","883,781","977,114"
