Date,PM2.5 AQI Value,Site Name,Site ID,Source,20-year High (2000-2019),20-year Low (2000-2019),5-year Average (2015-2019)
01/01/2020,36,Intermediate School 143,36-061-0115,AQS,119,45,53.6
01/02/2020,56,Intermediate School 143,36-061-0115,AQS,134,37,61.8
01/03/2020,68,Fort Lee Near Road,34-003-0010,AQS,102,31,59
01/04/2020,63,Fort Lee Near Road,34-003-0010,AQS,108,28,52.2
01/05/2020,37,CCNY,36-061-0135,AQS,113,33,50.2
01/06/2020,47,Intermediate School 143,36-061-0115,AQS,113,26,56.4
01/07/2020,72,RICHMOND POST OFFICE,36-085-0055,AQS,121,36,59.4
01/08/2020,47,Intermediate School 143,36-061-0115,AQS,118,47,65.8
01/09/2020,43,Intermediate School 143,36-061-0115,AQS,108,38,56.8
01/10/2020,50,Intermediate School 143,36-061-0115,AQS,141,35,52.4
01/11/2020,52,PS 274,36-047-0118,AQS,141,29,59.8
01/12/2020,40,Intermediate School 143,36-061-0115,AQS,85,43,55.4
01/13/2020,51,FRESHKILLS WEST,36-085-0111,AQS,121,31,46.8
01/14/2020,60,Fort Lee Near Road,34-003-0010,AQS,143,26,53.8
01/15/2020,62,Fort Lee Near Road,34-003-0010,AQS,105,17,69
01/16/2020,55,Fort Lee Near Road,34-003-0010,AQS,116,31,62.8
01/17/2020,37,Intermediate School 143,36-061-0115,AQS,104,42,55.2
01/18/2020,32,Fort Lee Near Road,34-003-0010,AQS,96,31,62.2
01/19/2020,40,Intermediate School 143,36-061-0115,AQS,110,41,53
01/20/2020,35,Queens College Near Road,36-081-0125,AirNow,78,31,48.2
01/21/2020,45,NEWBURGH,36-071-0002,AQS,156,32,58
01/22/2020,56,EISENHOWER PARK,36-059-0005,AQS,117,31,66.6
01/23/2020,76,Fort Lee Near Road,34-003-0010,AQS,150,32,50.2
01/24/2020,83,Jersey City Firehouse,34-017-1003,AQS,121,30,43.6
01/25/2020,50,Fort Lee Near Road,34-003-0010,AQS,119,29,46.8
01/26/2020,32,Elizabeth Lab,34-039-0004,AQS,102,43,64.2
01/27/2020,35,Intermediate School 143,36-061-0115,AQS,82,34,50.6
01/28/2020,30,Intermediate School 143,36-061-0115,AQS,97,36,51.6
01/29/2020,29,MORRISANIA,36-005-0080,AQS,143,35,56.6
01/30/2020,40,Queens College Near Road,36-081-0125,AirNow,122,41,51.6
01/31/2020,57,NEWBURGH,36-071-0002,AQS,112,38,53.8
02/01/2020,70,IS 52,36-005-0110,AQS,132,43,59.6
02/02/2020,57,IS 52,36-005-0110,AQS,122,27,55.2
02/03/2020,54,Newark Firehouse,34-013-0003,AQS,117,41,58.2
02/04/2020,68,Fort Lee Near Road,34-003-0010,AQS,93,47,67.2
02/05/2020,31,Queens College Near Road,36-081-0125,AirNow,99,29,61
02/06/2020,52,JHS 126,36-047-0122,AQS,115,42,63.2
02/07/2020,38,Elizabeth Lab,34-039-0004,AQS,113,46,70.8
02/08/2020,47,Intermediate School 143,36-061-0115,AQS,123,24,59.4
02/09/2020,54,Newark Firehouse,34-013-0003,AQS,114,34,54.4
02/10/2020,45,Fort Lee Near Road,34-003-0010,AQS,132,30,53.2
02/11/2020,53,Fort Lee Near Road,34-003-0010,AQS,121,17,55
02/12/2020,45,IS 52,36-005-0110,AQS,85,37,50.8
02/13/2020,48,Fort Lee Near Road,34-003-0010,AQS,82,33,53.2
02/14/2020,34,Intermediate School 143,36-061-0115,AQS,118,47,63
02/15/2020,52,DIVISION STREET,36-061-0134,AQS,112,48,67.6
02/16/2020,52,IS 52,36-005-0110,AQS,151,39,48
02/17/2020,55,Newark Firehouse,34-013-0003,AQS,98,30,54
02/18/2020,53,Rutgers University,34-023-0011,AQS,82,23,58
02/19/2020,40,Newark Firehouse,34-013-0003,AQS,116,37,52.4
02/20/2020,30,Elizabeth Lab,34-039-0004,AQS,103,37,59.2
02/21/2020,41,DIVISION STREET,36-061-0134,AQS,122,44,56.8
02/22/2020,46,Fort Lee Near Road,34-003-0010,AQS,108,23,55.6
02/23/2020,54,Fort Lee Near Road,34-003-0010,AQS,94,37,60.2
02/24/2020,74,QUEENS COLLEGE 2,36-081-0124,AQS,120,36,52.4
02/25/2020,62,Fort Lee Near Road,34-003-0010,AQS,92,28,49.6
02/26/2020,54,Fort Lee Near Road,34-003-0010,AQS,106,18,44
02/27/2020,33,DIVISION STREET,36-061-0134,AQS,117,28,55.2
02/28/2020,35,Elizabeth Lab,34-039-0004,AQS,80,33,55.6
02/29/2020,30,Intermediate School 143,36-061-0115,AQS,65,53,.
03/01/2020,32,Fort Lee Near Road,34-003-0010,AQS,99,40,60.4
03/02/2020,61,Newark Firehouse,34-013-0003,AQS,97,26,52.2
03/03/2020,57,Fort Lee Near Road,34-003-0010,AQS,87,23,46.8
03/04/2020,29,IS 74,36-005-0112,AQS,111,20,51.4
03/05/2020,35,Elizabeth Lab,34-039-0004,AQS,105,29,46.8
03/06/2020,45,Flemington,34-019-0001,AQS,113,25,63.2
03/07/2020,24,Rutgers University,34-023-0011,AQS,100,23,64.8
03/08/2020,30,Elizabeth Lab,34-039-0004,AQS,111,34,61.4
03/09/2020,50,Queens College Near Road,36-081-0125,AirNow,115,26,67.8
03/10/2020,48,Intermediate School 143,36-061-0115,AQS,98,23,58.8
03/11/2020,29,Elizabeth Lab,34-039-0004,AQS,96,27,38.8
03/12/2020,52,Elizabeth Lab,34-039-0004,AQS,103,29,44.6
03/13/2020,46,Fort Lee Near Road,34-003-0010,AQS,116,28,45.4
03/14/2020,22,Intermediate School 143,36-061-0115,AQS,123,25,51.4
03/15/2020,25,Elizabeth Lab,34-039-0004,AQS,120,31,42.8
03/16/2020,25,Elizabeth Lab,34-039-0004,AQS,144,27,46.6
03/17/2020,39,Fort Lee Near Road,34-003-0010,AQS,141,27,40.2
03/18/2020,37,Fort Lee Near Road,34-003-0010,AQS,96,26,40.6
03/19/2020,40,Elizabeth Lab,34-039-0004,AQS,83,24,37
03/20/2020,63,Fort Lee Near Road,34-003-0010,AQS,98,28,47.4
03/21/2020,30,Elizabeth Lab,34-039-0004,AQS,81,28,50
03/22/2020,32,Fort Lee Near Road,34-003-0010,AQS,84,23,36.6
03/23/2020,22,Elizabeth Lab,34-039-0004,AQS,95,26,38.6
03/24/2020,27,Fort Lee Near Road,34-003-0010,AQS,72,24,41.8
03/25/2020,32,Elizabeth Lab,34-039-0004,AQS,87,25,55
03/26/2020,36,IS 52,36-005-0110,AQS,104,27,51
03/27/2020,33,Toms River,34-029-2002,AQS,74,27,43.6
03/28/2020,38,Elizabeth Lab,34-039-0004,AQS,83,30,58.4
03/29/2020,23,Rutgers University,34-023-0011,AQS,87,20,42.2
03/30/2020,42,Elizabeth Lab,34-039-0004,AQS,99,26,48.6
03/31/2020,23,Jersey City Firehouse,34-017-1003,AQS,100,27,46.8
04/01/2020,26,Newark Firehouse,34-013-0003,AQS,89,22,31.8
04/02/2020,21,Elizabeth Lab,34-039-0004,AQS,98,20,38.6
04/03/2020,14,Elizabeth Lab,34-039-0004,AQS,124,25,49
04/04/2020,20,Elizabeth Lab,34-039-0004,AQS,78,28,45.4
04/05/2020,52,Jersey City Firehouse,34-017-1003,AQS,73,16,39.2
04/06/2020,36,Newark Firehouse,34-013-0003,AQS,101,30,52.4
04/07/2020,34,Flemington,34-019-0001,AQS,108,26,43
04/08/2020,50,IS 52,36-005-0110,AQS,103,21,37
04/09/2020,31,Elizabeth Lab,34-039-0004,AQS,112,28,45.6
04/10/2020,19,Newark Firehouse,34-013-0003,AQS,106,35,49.8
04/11/2020,28,Rutgers University,34-023-0011,AQS,80,27,48.2
04/12/2020,45,Flemington,34-019-0001,AQS,93,23,53.2
04/13/2020,34,IS 52,36-005-0110,AQS,66,23,46.6
04/14/2020,22,Intermediate School 143,36-061-0115,AQS,93,25,51.2
04/15/2020,27,Flemington,34-019-0001,AQS,94,22,39.6
04/16/2020,30,Elizabeth Lab,34-039-0004,AQS,85,18,40
04/17/2020,41,IS 52,36-005-0110,AQS,95,24,36.6
04/18/2020,43,Rutgers University,34-023-0011,AQS,100,24,45.4
04/19/2020,40,Flemington,34-019-0001,AQS,99,24,38.8
04/20/2020,27,Elizabeth Lab,34-039-0004,AQS,93,23,39.2
04/21/2020,38,Elizabeth Lab,34-039-0004,AQS,87,24,43.8
04/22/2020,20,Flemington,34-019-0001,AQS,91,15,49.8
04/23/2020,40,IS 52,36-005-0110,AQS,85,20,37.4
04/24/2020,39,Elizabeth Lab,34-039-0004,AQS,83,23,37.4
04/25/2020,50,Newark Firehouse,34-013-0003,AQS,83,22,39
04/26/2020,27,Rutgers University,34-023-0011,AQS,78,20,46.6
04/27/2020,15,Flemington,34-019-0001,AQS,90,18,38.8
04/28/2020,24,Flemington,34-019-0001,AQS,83,21,44.2
04/29/2020,47,Elizabeth Lab,34-039-0004,AQS,69,30,38.6
04/30/2020,41,IS 52,36-005-0110,AQS,85,24,38
05/01/2020,28,Newark Firehouse,34-013-0003,AQS,93,23,42.2
05/02/2020,24,Newark Firehouse,34-013-0003,AQS,96,33,54.2
05/03/2020,41,Newark Firehouse,34-013-0003,AQS,105,20,49.4
05/04/2020,31,Rutgers University,34-023-0011,AQS,122,28,57.4
05/05/2020,20,Toms River,34-029-2002,AQS,88,20,50.8
05/06/2020,27,Rutgers University,34-023-0011,AQS,109,19,47.2
05/07/2020,25,Newark Firehouse,34-013-0003,AQS,92,20,42
05/08/2020,23,IS 52,36-005-0110,AQS,96,28,45.6
05/09/2020,12,Rutgers University,34-023-0011,AQS,111,19,54.2
05/10/2020,30,Newark Firehouse,34-013-0003,AQS,95,23,49.6
05/11/2020,27,Newark Firehouse,34-013-0003,AQS,103,33,54.6
05/12/2020,19,Newark Firehouse,34-013-0003,AQS,136,25,46.4
05/13/2020,27,Rutgers University,34-023-0011,AQS,130,23,45.4
05/14/2020,41,Rutgers University,34-023-0011,AQS,83,21,40.6
05/15/2020,56,Elizabeth Lab,34-039-0004,AQS,105,23,43
05/16/2020,32,Rutgers University,34-023-0011,AQS,100,25,46.8
05/17/2020,28,Rutgers University,34-023-0011,AQS,76,30,58
05/18/2020,23,Newark Firehouse,34-013-0003,AQS,80,18,54.6
05/19/2020,30,Elizabeth Lab,34-039-0004,AQS,83,22,51.6
05/20/2020,25,Elizabeth Lab,34-039-0004,AQS,70,34,44
05/21/2020,45,Newark Firehouse,34-013-0003,AQS,86,22,35.4
05/22/2020,46,Newark Firehouse,34-013-0003,AQS,92,28,43.4
05/23/2020,42,Elizabeth Lab,34-039-0004,AQS,87,33,48.4
05/24/2020,34,Rutgers University,34-023-0011,AQS,108,16,49.2
05/25/2020,43,Newark Firehouse,34-013-0003,AQS,92,13,51.2
05/26/2020,42,IS 52,36-005-0110,AQS,147,18,52.6
05/27/2020,30,Newark Firehouse,34-013-0003,AQS,98,28,50
05/28/2020,35,Newark Firehouse,34-013-0003,AQS,75,29,53.4
05/29/2020,38,Newark Firehouse,34-013-0003,AQS,107,22,50.6
05/30/2020,37,Elizabeth Lab,34-039-0004,AQS,143,31,46
05/31/2020,18,Elizabeth Lab,34-039-0004,AQS,122,34,50
06/01/2020,24,Toms River,34-029-2002,AQS,107,25,52.6
06/02/2020,40,Elizabeth Lab,34-039-0004,AQS,116,22,51
06/03/2020,57,Newark Firehouse,34-013-0003,AQS,89,23,43
06/04/2020,45,Rutgers University,34-023-0011,AQS,96,21,36.8
06/05/2020,48,IS 52,36-005-0110,AQS,99,28,49.6
06/06/2020,42,IS 52,36-005-0110,AQS,96,25,43.6
06/07/2020,26,Toms River,34-029-2002,AQS,104,19,45.2
06/08/2020,24,Rutgers University,34-023-0011,AQS,131,28,48.8
06/09/2020,46,Newark Firehouse,34-013-0003,AQS,126,23,43.6
06/10/2020,61,Newark Firehouse,34-013-0003,AQS,125,23,48.6
06/11/2020,49,IS 52,36-005-0110,AQS,120,25,64
06/12/2020,52,Elizabeth Lab,34-039-0004,AirNow,101,32,59
06/13/2020,27,Toms River,34-029-2002,AQS,132,26,48.2
06/14/2020,30,Elizabeth Lab,34-039-0004,AirNow,134,31,54.8
06/15/2020,32,Flemington,34-019-0001,AQS,126,34,47.4
06/16/2020,33,Newark Firehouse,34-013-0003,AQS,91,19,57
06/17/2020,40,Newark Firehouse,34-013-0003,AQS,96,33,52.8
06/18/2020,31,Fort Lee Near Road,34-003-0010,AQS,109,33,54.4
06/19/2020,35,Fort Lee Near Road,34-003-0010,AQS,157,35,51.4
06/20/2020,52,IS 52,36-005-0110,AQS,91,25,58.2
06/21/2020,46,Fort Lee Near Road,34-003-0010,AQS,104,38,48.4
06/22/2020,35,Fort Lee Near Road,34-003-0010,AQS,114,27,51
06/23/2020,53,IS 52,36-005-0110,AQS,143,29,54.8
06/24/2020,56,Elizabeth Lab,34-039-0004,AQS,102,35,52.8
06/25/2020,41,Elizabeth Lab,34-039-0004,AQS,89,33,45.4
06/26/2020,45,Elizabeth Lab,34-039-0004,AQS,158,24,48.8
06/27/2020,70,NEWBURGH,36-071-0002,AQS,153,30,46.8
06/28/2020,52,Fort Lee Near Road,34-003-0010,AQS,105,18,45
06/29/2020,40,Fort Lee Near Road,34-003-0010,AQS,107,38,51
06/30/2020,28,Newark Firehouse,34-013-0003,AQS,151,40,50.2
07/01/2020,46,Elizabeth Lab,34-039-0004,AirNow,93,38,57
07/02/2020,51,RICHMOND POST OFFICE,36-085-0055,AQS,122,17,62.8
07/03/2020,63,Newark Firehouse,34-013-0003,AirNow,104,37,59.4
07/04/2020,75,MORRISANIA,36-005-0080,AQS,139,41,77
07/05/2020,80,NEWBURGH,36-071-0002,AQS,112,35,64.8
07/06/2020,63,Newark Firehouse,34-013-0003,AirNow,107,29,52.4
07/07/2020,53,Jersey City Firehouse,34-017-1003,AirNow,167,25,48
07/08/2020,54,Fort Lee Near Road,34-003-0010,AirNow,153,31,58
07/09/2020,48,Elizabeth Lab,34-039-0004,AirNow,147,29,48.6
07/10/2020,25,Fort Lee Near Road,34-003-0010,AirNow,149,31,51.4
07/11/2020,35,IS 52,36-005-0110,AQS,124,19,50.2
07/12/2020,40,Elizabeth Lab,34-039-0004,AirNow,156,34,51.6
07/13/2020,34,Elizabeth Lab,34-039-0004,AirNow,72,33,55.4
07/14/2020,26,Rutgers University,34-023-0011,AirNow,86,35,51
07/15/2020,32,Fort Lee Near Road,34-003-0010,AirNow,102,33,48.4
07/16/2020,23,Rutgers University,34-023-0011,AirNow,121,32,48.8
07/17/2020,49,Newark Firehouse,34-013-0003,AirNow,131,38,54.6
07/18/2020,52,Elizabeth Lab,34-039-0004,AirNow,140,45,51.6
07/19/2020,62,Fort Lee Near Road,34-003-0010,AirNow,137,44,59.2
07/20/2020,55,Fort Lee Near Road,34-003-0010,AirNow,119,34,57.6
07/21/2020,38,Newark Firehouse,34-013-0003,AirNow,110,26,54.6
07/22/2020,56,CCNY,36-061-0135,AQS,151,38,55.4
07/23/2020,48,RICHMOND POST OFFICE,36-085-0055,AQS,127,31,47.2
07/24/2020,38,Fort Lee Near Road,34-003-0010,AirNow,82,29,43
07/25/2020,55,Fort Lee Near Road,34-003-0010,AirNow,95,27,48.6
07/26/2020,52,Elizabeth Lab,34-039-0004,AirNow,112,30,46
07/27/2020,56,RICHMOND POST OFFICE,36-085-0055,AQS,113,30,51.8
07/28/2020,68,Rutgers University,34-023-0011,AirNow,139,34,62.6
07/29/2020,54,Elizabeth Lab,34-039-0004,AirNow,151,19,57.2
07/30/2020,56,Queens College Near Road,36-081-0125,AirNow,142,31,56.2
07/31/2020,41,Queens College Near Road,36-081-0125,AirNow,123,37,58.8
08/01/2020,52,PS 314,36-047-0052,AQS,130,43,52.2
08/02/2020,55,Fort Lee Near Road,34-003-0010,AirNow,140,38,51.6
08/03/2020,40,Elizabeth Lab,34-039-0004,AirNow,132,42,51
08/04/2020,38,IS 52,36-005-0110,AQS,104,32,45.6
08/05/2020,35,IS 52,36-005-0110,AQS,155,24,45.4
08/06/2020,49,Flemington,34-019-0001,AirNow,126,18,51.2
08/07/2020,55,Newark Firehouse,34-013-0003,AirNow,126,16,52.8
08/08/2020,42,Elizabeth Lab,34-039-0004,AirNow,122,25,47.2
08/09/2020,45,IS 52,36-005-0110,AQS,101,30,49.4
08/10/2020,58,IS 52,36-005-0110,AQS,123,32,49.8
08/11/2020,54,Newark Firehouse,34-013-0003,AirNow,99,28,44
08/12/2020,60,IS 52,36-005-0110,AQS,121,30,43.6
08/13/2020,59,PS 314,36-047-0052,AQS,152,21,51.4
08/14/2020,59,Elizabeth Lab,34-039-0004,AirNow,122,26,53
08/15/2020,55,Elizabeth Lab,34-039-0004,AirNow,80,26,54.6
08/16/2020,35,IS 52,36-005-0110,AQS,150,27,67
08/17/2020,38,IS 52,36-005-0110,AQS,108,36,57
08/18/2020,39,Elizabeth Lab,34-039-0004,AirNow,112,32,52.6
08/19/2020,53,Elizabeth Lab,34-039-0004,AirNow,97,30,43.8
08/20/2020,32,Elizabeth Lab,34-039-0004,AirNow,113,32,41.4
08/21/2020,55,Newark Firehouse,34-013-0003,AirNow,110,28,49
08/22/2020,51,Newark Firehouse,34-013-0003,AirNow,153,33,47.8
08/23/2020,46,Newark Firehouse,34-013-0003,AirNow,127,26,42.8
08/24/2020,39,Fort Lee Near Road,34-003-0010,AirNow,106,20,48.2
08/25/2020,51,Elizabeth Lab,34-039-0004,AirNow,126,23,46.4
08/26/2020,20,Elizabeth Lab,34-039-0004,AirNow,93,30,47.6
